[695,2066]
[696,3841]
[697,2187]
[698,9186]
[699,7771]
[700,4348]
[701,945]
[702,62]
[703,10456]
[704,10452]
[705,59]
[706,2151]
[707,1860]
[708,1860]
[709,9508]
[710,1720]
[711,3982]
[712,554]
[713,47]
[714,2317]
[715,5534]
[716,587]
[717,151]
[718,2382]
[719,747]
[720,233]
[721,4178]
[722,679]
[723,1884]
[724,3909]
[725,665]
[726,3621]
[727,2831]
[728,338]
[729,1083]
[730,476]
[731,2954]
[732,1579]
[733,4529]
[734,2011]
[735,556]
[736,295]
[737,110]
[738,83]
[739,1250]
[740,172]
[741,229]
[742,755]
[743,611]
[744,830]
[745,2473]
[746,12350]
[747,357]
[748,2559]
[749,970]
[750,1233]
[751,139]
[752,147]
[753,3874]
[754,1196]
[755,3670]
[756,753]
[757,2756]
[758,6842]
[759,1514]
[760,343]
[761,9513]
[762,2546]
[763,417]
[764,1053]
[765,6506]
[766,1193]
[767,162]
[768,1361]
[769,843]
[770,1075]
[771,2228]
[772,254]
[773,371]
[774,2234]
[775,1471]
[776,1290]
[777,2087]
[778,3218]
[779,5012]
[780,9558]
[781,12707]
[782,2331]
[783,461]
[784,2348]
[785,2417]
[786,8524]
[787,386]
[788,879]
[789,311]
[790,4549]
[791,6512]
[792,500]
[793,629]
[794,2108]
[795,1741]
[796,4570]
[797,2669]
[798,217]
[799,1283]
[800,3673]
[801,10375]
[802,3996]
[803,8458]
[804,8038]
[805,9573]
[806,1750]
[807,812]
[808,2263]
[809,7151]
[810,1105]
[811,5721]
[812,1474]
[813,7715]
[814,6919]
[815,480]
[816,7199]
[817,7195]
[818,1581]
[819,4683]
[820,699]
[821,7990]
[822,16560]
[823,1620]
[824,3040]
[825,85]
[826,940]
[827,1240]
[828,8797]
[829,8361]
[830,309]
[831,8018]
[832,2671]
[833,1366]
[834,4221]
[835,12042]
[836,4769]
[837,2387]
[838,2913]
[839,4503]
[840,2150]
[841,1599]
[842,10124]
[843,10325]
[844,3305]
[845,2844]
[846,2014]
[847,3400]
[848,1694]
[849,1804]
[850,2256]
[851,3548]
[852,3561]
[853,4212]
[854,334]
[855,1812]
[856,2039]
[857,50]
[858,516]
[859,3563]
[860,4023]
[861,704]
[862,4024]
[863,4206]
[864,5216]
[865,3161]
[866,830]
[867,4572]
[868,6219]
[869,2601]
[870,10021]
[871,397]
[872,1771]
[873,4452]
[874,2489]
[875,1551]
[876,73]
[877,282]
[878,252]
[879,7180]
[880,565]
[881,198]
[882,1186]
[883,1413]
[884,4536]
[885,5152]
[886,5156]
[887,599]
[888,846]
[889,350]
[890,656]
[891,3672]
[892,4619]
[893,1307]
[894,653]
[895,5196]
[896,11101]
[897,432]
[898,13848]
[899,795]
[900,1117]
[901,1141]
[902,1067]
[903,3603]
[904,3159]
[905,542]
[906,2059]
[907,1336]
[908,2193]
[909,6084]
[910,6084]
[911,2097]
[912,8228]
[913,5338]
[914,9039]
[915,2588]
[916,4711]
[917,3120]
[918,3712]
[919,4822]
[920,7912]
[921,4285]
[922,5460]
[923,8456]
[924,659]
[925,3503]
[926,403]
[927,4575]
[928,3207]
[929,6222]
[930,2026]
[931,13822]
[932,2653]
[933,1344]
[934,18966]
[935,2389]
[936,591]
[937,1341]
[938,5406]
[939,228]
[940,17360]
[941,2647]
[942,5917]
[943,786]
[944,4504]
[945,1081]
[946,9509]
[947,6633]
[948,470]
[949,2275]
[950,3252]
[951,2653]
[952,818]
[953,4521]
[954,2190]
[955,2028]
[956,1698]
[957,212]
[958,2039]
[959,1058]
[960,736]
[961,1674]
[962,5890]
[963,2531]
[964,2098]
[965,193]
[966,606]
[967,8902]
[968,1633]
[969,3866]
[970,1307]
[971,2271]
[972,3707]
[973,2290]
[974,2830]
[975,3220]
[976,7018]
[977,1999]
[978,1355]
[979,3776]
[980,2133]
[981,53]
[982,1838]
[983,2941]
[984,10309]
[985,4376]
[986,2568]
[987,512]
[988,10305]
[989,3157]
[990,1130]
[991,1677]
[992,4552]
[993,2419]
[994,2213]
[995,245]
[996,3771]
[997,8357]
[998,9708]
[999,1275]
